Creating 500 baboon threads...

Crossed: 0     | Waiting [E]: 0     | None  0     | Waiting [W]: 0    
Crossed: 0     | Waiting [E]: 4     | <---  2     | Waiting [W]: 6    
Crossed: 2     | Waiting [E]: 9     | --->  2     | Waiting [W]: 9    
Crossed: 4     | Waiting [E]: 13    | <---  1     | Waiting [W]: 14   
Crossed: 5     | Waiting [E]: 14    | --->  1     | Waiting [W]: 14   
Crossed: 6     | Waiting [E]: 15    | <---  1     | Waiting [W]: 16   
Crossed: 7     | Waiting [E]: 16    | --->  1     | Waiting [W]: 16   
Crossed: 9     | Waiting [E]: 16    | <---  0     | Waiting [W]: 17   
Crossed: 9     | Waiting [E]: 17    | --->  1     | Waiting [W]: 17   
Crossed: 11    | Waiting [E]: 21    | --->  1     | Waiting [W]: 20   
Crossed: 13    | Waiting [E]: 39    | --->  1     | Waiting [W]: 38   
Crossed: 14    | Waiting [E]: 284   | <---  1     | Waiting [W]: 285  
Crossed: 15    | Waiting [E]: 492   | --->  1     | Waiting [W]: 492  
Crossed: 22    | Waiting [E]: 489   | --->  0     | Waiting [W]: 489  
Crossed: 23    | Waiting [E]: 488   | <---  0     | Waiting [W]: 489  
Crossed: 24    | Waiting [E]: 488   | --->  0     | Waiting [W]: 488  
Crossed: 24    | Waiting [E]: 487   | <---  1     | Waiting [W]: 488  
Crossed: 26    | Waiting [E]: 487   | --->  0     | Waiting [W]: 487  
Crossed: 27    | Waiting [E]: 486   | <---  0     | Waiting [W]: 487  
Crossed: 28    | Waiting [E]: 486   | --->  0     | Waiting [W]: 486  
Crossed: 29    | Waiting [E]: 485   | <---  0     | Waiting [W]: 486  
Crossed: 30    | Waiting [E]: 485   | --->  0     | Waiting [W]: 485  
Crossed: 31    | Waiting [E]: 484   | <---  0     | Waiting [W]: 485  
Crossed: 32    | Waiting [E]: 484   | --->  0     | Waiting [W]: 484  
Crossed: 32    | Waiting [E]: 483   | <---  1     | Waiting [W]: 484  
Crossed: 34    | Waiting [E]: 483   | --->  0     | Waiting [W]: 483  
Crossed: 34    | Waiting [E]: 482   | <---  1     | Waiting [W]: 483  
Crossed: 36    | Waiting [E]: 482   | --->  0     | Waiting [W]: 482  
Crossed: 36    | Waiting [E]: 481   | <---  1     | Waiting [W]: 482  
Crossed: 38    | Waiting [E]: 481   | --->  0     | Waiting [W]: 481  
Crossed: 39    | Waiting [E]: 480   | <---  0     | Waiting [W]: 481  
Crossed: 40    | Waiting [E]: 480   | --->  0     | Waiting [W]: 480  
Crossed: 41    | Waiting [E]: 479   | <---  0     | Waiting [W]: 480  
Crossed: 42    | Waiting [E]: 479   | --->  0     | Waiting [W]: 479  
Crossed: 43    | Waiting [E]: 478   | <---  0     | Waiting [W]: 479  
Crossed: 44    | Waiting [E]: 478   | --->  0     | Waiting [W]: 478  
Crossed: 45    | Waiting [E]: 477   | <---  0     | Waiting [W]: 478  
Crossed: 46    | Waiting [E]: 477   | --->  0     | Waiting [W]: 477  
Crossed: 47    | Waiting [E]: 476   | <---  0     | Waiting [W]: 477  
Crossed: 48    | Waiting [E]: 476   | --->  0     | Waiting [W]: 476  
Crossed: 49    | Waiting [E]: 475   | <---  0     | Waiting [W]: 476  
Crossed: 50    | Waiting [E]: 474   | <---  0     | Waiting [W]: 476  
Crossed: 51    | Waiting [E]: 474   | --->  0     | Waiting [W]: 475  
Crossed: 52    | Waiting [E]: 473   | <---  0     | Waiting [W]: 475  
Crossed: 53    | Waiting [E]: 473   | --->  1     | Waiting [W]: 473  
Crossed: 54    | Waiting [E]: 472   | <---  1     | Waiting [W]: 473  
Crossed: 56    | Waiting [E]: 472   | --->  0     | Waiting [W]: 472  
Crossed: 57    | Waiting [E]: 471   | <---  0     | Waiting [W]: 472  
Crossed: 58    | Waiting [E]: 471   | --->  0     | Waiting [W]: 471  
Crossed: 59    | Waiting [E]: 470   | <---  0     | Waiting [W]: 471  
Crossed: 60    | Waiting [E]: 470   | --->  0     | Waiting [W]: 470  
Crossed: 60    | Waiting [E]: 468   | <---  2     | Waiting [W]: 470  
Crossed: 63    | Waiting [E]: 468   | --->  1     | Waiting [W]: 468  
Crossed: 64    | Waiting [E]: 467   | <---  1     | Waiting [W]: 468  
Crossed: 66    | Waiting [E]: 467   | --->  0     | Waiting [W]: 467  
Crossed: 67    | Waiting [E]: 466   | <---  0     | Waiting [W]: 467  
Crossed: 68    | Waiting [E]: 466   | --->  0     | Waiting [W]: 466  
Crossed: 68    | Waiting [E]: 465   | <---  1     | Waiting [W]: 466  
Crossed: 69    | Waiting [E]: 465   | --->  3     | Waiting [W]: 463  
Crossed: 73    | Waiting [E]: 464   | <---  0     | Waiting [W]: 463  
Crossed: 74    | Waiting [E]: 463   | <---  0     | Waiting [W]: 463  
Crossed: 75    | Waiting [E]: 463   | --->  0     | Waiting [W]: 462  
Crossed: 76    | Waiting [E]: 461   | <---  1     | Waiting [W]: 462  
Crossed: 77    | Waiting [E]: 459   | <---  2     | Waiting [W]: 462  
Crossed: 79    | Waiting [E]: 459   | --->  3     | Waiting [W]: 459  
Crossed: 82    | Waiting [E]: 458   | <---  1     | Waiting [W]: 459  
Crossed: 84    | Waiting [E]: 458   | --->  0     | Waiting [W]: 458  
Crossed: 85    | Waiting [E]: 456   | <---  1     | Waiting [W]: 458  
Crossed: 86    | Waiting [E]: 456   | --->  1     | Waiting [W]: 457  
Crossed: 88    | Waiting [E]: 455   | <---  0     | Waiting [W]: 457  
Crossed: 89    | Waiting [E]: 455   | --->  0     | Waiting [W]: 456  
Crossed: 89    | Waiting [E]: 455   | --->  1     | Waiting [W]: 455  
Crossed: 91    | Waiting [E]: 454   | <---  0     | Waiting [W]: 455  
Crossed: 92    | Waiting [E]: 454   | --->  0     | Waiting [W]: 454  
Crossed: 93    | Waiting [E]: 453   | <---  0     | Waiting [W]: 454  
Crossed: 94    | Waiting [E]: 453   | --->  0     | Waiting [W]: 453  
Crossed: 95    | Waiting [E]: 452   | <---  0     | Waiting [W]: 453  
Crossed: 96    | Waiting [E]: 452   | --->  0     | Waiting [W]: 452  
Crossed: 97    | Waiting [E]: 451   | <---  0     | Waiting [W]: 452  
Crossed: 98    | Waiting [E]: 450   | <---  1     | Waiting [W]: 451  
Crossed: 100   | Waiting [E]: 450   | --->  0     | Waiting [W]: 450  
Crossed: 100   | Waiting [E]: 449   | <---  1     | Waiting [W]: 450  
Crossed: 102   | Waiting [E]: 449   | --->  0     | Waiting [W]: 449  
