File: fifo_barbershop_A
Type: cpu
Time: Oct 9, 2018 at 10:40pm (PDT)
Duration: 204.93ms, Total samples = 4.84ms ( 2.36%)
Showing nodes accounting for 4.57ms, 94.42% of 4.84ms total
Dropped 57 nodes (cum <= 0.02ms)
      flat  flat%   sum%        cum   cum%
    0.94ms 19.42% 19.42%     0.97ms 20.04%  runtime.stackpoolalloc
    0.72ms 14.88% 34.30%     0.72ms 14.88%  runtime.usleep
    0.36ms  7.44% 41.74%     0.36ms  7.44%  runtime.memmove
    0.28ms  5.79% 47.52%     0.28ms  5.79%  runtime.walltime
    0.26ms  5.37% 52.89%     0.26ms  5.37%  runtime.pthread_cond_signal
    0.24ms  4.96% 57.85%     0.24ms  4.96%  runtime.nanotime
    0.21ms  4.34% 62.19%     0.21ms  4.34%  runtime.memclrNoHeapPointers
    0.19ms  3.93% 66.12%     0.40ms  8.26%  main.runTracker.func1
    0.19ms  3.93% 70.04%     0.19ms  3.93%  runtime.pthread_cond_wait
    0.16ms  3.31% 73.35%     1.13ms 23.35%  runtime.malg.func1
    0.13ms  2.69% 76.03%     0.15ms  3.10%  runtime.makechan
    0.13ms  2.69% 78.72%     1.73ms 35.74%  runtime.newproc1
    0.10ms  2.07% 80.79%     0.10ms  2.07%  runtime.(*waitq).dequeue
    0.10ms  2.07% 82.85%     0.10ms  2.07%  runtime.sigprocmask
    0.06ms  1.24% 84.09%     0.06ms  1.24%  syscall.Syscall
    0.05ms  1.03% 85.12%     0.05ms  1.03%  runtime.findnull
    0.05ms  1.03% 86.16%     0.10ms  2.07%  runtime.lock
    0.05ms  1.03% 87.19%     0.05ms  1.03%  runtime.newdefer
    0.05ms  1.03% 88.22%     0.05ms  1.03%  runtime.pthread_mutex_unlock
    0.04ms  0.83% 89.05%     0.04ms  0.83%  runtime.freedefer
    0.04ms  0.83% 89.88%     0.04ms  0.83%  strconv.FormatInt
    0.03ms  0.62% 90.50%     0.08ms  1.65%  runtime.isSystemGoroutine
    0.03ms  0.62% 91.12%     0.03ms  0.62%  runtime.setThreadCPUProfiler
    0.02ms  0.41% 91.53%     0.19ms  3.93%  runtime.chansend
    0.02ms  0.41% 91.94%     0.19ms  3.93%  runtime.newobject
    0.02ms  0.41% 92.36%     1.73ms 35.74%  runtime.newproc
    0.02ms  0.41% 92.77%     0.41ms  8.47%  runtime.wakep
    0.01ms  0.21% 92.98%     0.04ms  0.83%  fmt.(*pp).doPrintf
    0.01ms  0.21% 93.18%     0.03ms  0.62%  fmt.(*pp).printArg
    0.01ms  0.21% 93.39%     0.44ms  9.09%  runtime.mcall
    0.01ms  0.21% 93.60%     0.36ms  7.44%  runtime.resetspinning
    0.01ms  0.21% 93.80%     0.06ms  1.24%  runtime.stopm
    0.01ms  0.21% 94.01%     1.82ms 37.60%  runtime.systemstack
    0.01ms  0.21% 94.21%     0.03ms  0.62%  runtime.unlock
    0.01ms  0.21% 94.42%     0.06ms  1.24%  time.Time.Date
         0     0% 94.42%     0.06ms  1.24%  fmt.Sprintf
