
Generating 500 search-insert-delete triplets... 
Critical Section: Searchers: 1 |Inserters: 0 | Deleters: 0
DELETE FAILED: List is empty!
Critical Section: Searchers: 0 |Inserters: 0 | Deleters: 1
Critical Section: Searchers: 1 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 1 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 0 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 0 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 0 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 0 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 0 |Inserters: 0 | Deleters: 1
Critical Section: Searchers: 1 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 0 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 1 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 2 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 3 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 4 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 5 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 6 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 7 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 7 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 8 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 9 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 10 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 10 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 11 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 12 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 13 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 14 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 15 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 14 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 13 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 12 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 11 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 10 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 9 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 8 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 8 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 7 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 6 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 6 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 5 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 4 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 3 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 2 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 1 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 0 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 0 |Inserters: 0 | Deleters: 1
Critical Section: Searchers: 0 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 1 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 1 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 1 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 2 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 2 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 3 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 4 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 5 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 6 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 7 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 8 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 9 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 10 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 11 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 12 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 13 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 14 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 15 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 16 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 16 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 17 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 18 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 19 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 19 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 20 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 20 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 21 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 22 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 23 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 24 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 25 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 24 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 23 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 23 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 22 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 21 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 20 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 19 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 18 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 17 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 17 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 16 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 15 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 15 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 14 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 13 |Inserters: 1 | Deleters: 0
Critical Section: Searchers: 13 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 12 |Inserters: 0 | Deleters: 0
Critical Section: Searchers: 12 |Inserters: 1 | Deleters: 0
